Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Realized_Rate_SD,Changed_Instance_Rate_Mean,N_Runs
AraBERTv2,Completeness,10,67.42857142857143,59.60884353741497,66.58571428571427,0.4327180351674577,59.14714951630155,0.45229531989750504,0.46169402111341906,0.4522953198975048,9.996666296255139,0.19949678488731054,59.471428571428575,5
AraBERTv2,Completeness,20,67.42857142857143,59.60884353741497,65.64285714285714,1.0509956406830165,58.44952732245624,0.9418113479334909,1.1593162149587233,0.9418113479334914,20.048894321591288,0.2598246106297345,89.34285714285714,5
AraBERTv2,Completeness,30,67.42857142857143,59.60884353741497,65.54285714285714,0.6616306386805355,58.26005840506918,0.6162077187615221,1.3487851323457822,0.6162077187615258,30.041115679519947,0.12805743118913449,97.17142857142858,5
AraBERTv2,Consistency,10,67.42857142857143,59.60884353741497,69.19999999999999,0.5425751147095128,61.063995954377745,0.4835252792280935,-1.4551524169627839,0.48352527922809146,9.96971008221549,0.17453283664857794,59.44285714285714,5
AraBERTv2,Consistency,20,67.42857142857143,59.60884353741497,69.91428571428571,0.8259194011178472,61.40013026054787,0.7238684446583664,-1.7912867231328966,0.7238684446583676,19.989182172219817,0.1734904387427919,85.2,5
AraBERTv2,Consistency,30,67.42857142857143,59.60884353741497,70.41428571428571,0.6275966467568191,61.243916516589394,0.7976623717911342,-1.6350729791744254,0.7976623717911328,29.991345737775855,0.13262321554544962,92.32857142857142,5
AraBERTv2,Textual Accuracy,10,67.42857142857143,59.60884353741497,66.01428571428572,0.6111214181773561,58.53489427450897,0.650652218775561,1.073949262905991,0.6506522187755612,10.135233386651157,0.20870583240376991,47.91428571428572,5
AraBERTv2,Textual Accuracy,20,67.42857142857143,59.60884353741497,65.48571428571428,1.0611410877745076,58.06967034208851,0.9916072290232449,1.5391731953264576,0.991607229023246,20.05525665261015,0.2916231580959233,78.44285714285715,5
AraBERTv2,Textual Accuracy,30,67.42857142857143,59.60884353741497,64.27142857142857,0.7633171432795747,57.15466413678887,0.5974760966377737,2.4541794006260975,0.5974760966377729,29.905482041587906,0.1374126468509831,89.72857142857143,5
AraBERTv2,Understandability,10,67.42857142857143,59.60884353741497,67.5,0.43153735619980443,59.539266489271306,0.4314190683832935,0.06957704814367194,0.4314190683832926,10.00777864207134,0.7672187597848651,31.85714285714286,5
AraBERTv2,Understandability,20,67.42857142857143,59.60884353741497,67.69999999999999,0.4146550078200038,59.68607875842908,0.373464572839916,-0.07723522101410918,0.3734645728399184,20.020002222469163,0.29532509429998394,59.62857142857143,5
AraBERTv2,Understandability,30,67.42857142857143,59.60884353741497,67.5142857142857,0.5425751147095129,59.49983738772626,0.4146712521572893,0.10900614968870405,0.41467125215729056,30.04556061784643,0.2985273328494283,78.72857142857143,5
AraBERTv2,Validity,10,67.42857142857143,59.60884353741497,76.74285714285715,0.42438430792894205,61.748693640347064,1.0001281237775137,-2.139850102932095,1.0001281237775148,10.0055561729081,0.16790309587295058,59.842857142857156,5
AraBERTv2,Validity,20,67.42857142857143,59.60884353741497,83.34285714285714,0.8290023509973831,62.51538889118999,1.5946197821555004,-2.9065453537750274,1.5946197821555024,20.033337037448607,0.16282525627798833,90.0,5
AraBERTv2,Validity,30,67.42857142857143,59.60884353741497,85.08571428571429,0.4021625217216965,59.63154069597299,0.9932547369858811,-0.022697158558016017,0.9932547369858811,30.063340371152353,0.09082261025314795,97.44285714285714,5
Twitter-RoBERTa-Irony,Completeness,10,56.35714285714286,49.7095393725392,53.77142857142857,0.42076218500066087,48.0757213371931,0.4035901270476725,1.6338180353460963,0.4035901270476716,9.996666296255139,0.19949678488731054,59.471428571428575,5
Twitter-RoBERTa-Irony,Completeness,20,56.35714285714286,49.7095393725392,52.028571428571425,0.4886466107567748,47.02886733115306,0.5000392260406444,2.6806720413861362,0.5000392260406439,20.048894321591288,0.2598246106297345,89.34285714285714,5
Twitter-RoBERTa-Irony,Completeness,30,56.35714285714286,49.7095393725392,49.714285714285715,0.2812145669289947,45.30967308469997,0.3494063269707088,4.399866287839224,0.3494063269707089,30.041115679519947,0.12805743118913449,97.17142857142858,5
Twitter-RoBERTa-Irony,Consistency,10,56.35714285714286,49.7095393725392,58.20000000000001,0.3403179785591909,50.32915334858769,0.4536908735818935,-0.6196139760484842,0.4536908735818991,9.96971008221549,0.17453283664857794,59.44285714285714,5
Twitter-RoBERTa-Irony,Consistency,20,56.35714285714286,49.7095393725392,59.98571428571429,0.6152815847816577,51.00237929630278,0.8309746359578194,-1.2928399237635857,0.8309746359578174,19.989182172219817,0.1734904387427919,85.2,5
Twitter-RoBERTa-Irony,Consistency,30,56.35714285714286,49.7095393725392,61.41428571428571,0.488124273236283,51.26040680783609,0.5449108253029592,-1.5508674352968932,0.5449108253029591,29.991345737775855,0.13262321554544962,92.32857142857142,5
Twitter-RoBERTa-Irony,Textual Accuracy,10,56.35714285714286,49.7095393725392,56.128571428571426,0.30888211872056665,49.36115269004049,0.25473693569259126,0.34838668249870697,0.2547369356925914,10.135233386651157,0.20870583240376991,47.91428571428572,5
Twitter-RoBERTa-Irony,Textual Accuracy,20,56.35714285714286,49.7095393725392,56.54285714285715,0.5705350156490241,49.66242155805444,0.4861867508136183,0.04711781448476393,0.4861867508136187,20.05525665261015,0.2916231580959233,78.44285714285715,5
Twitter-RoBERTa-Irony,Textual Accuracy,30,56.35714285714286,49.7095393725392,56.3,0.26916348116309813,49.33726176604147,0.23542531131095784,0.37227760649771957,0.23542531131095765,29.905482041587906,0.1374126468509831,89.72857142857143,5
Twitter-RoBERTa-Irony,Understandability,10,56.35714285714286,49.7095393725392,56.371428571428574,0.3170334431595999,49.67130189351609,0.3240493472242721,0.03823747902311325,0.32404934722427187,10.00777864207134,0.7672187597848651,31.85714285714286,5
Twitter-RoBERTa-Irony,Understandability,20,56.35714285714286,49.7095393725392,56.699999999999996,0.4556896545067605,49.8499279169441,0.38862440168327894,-0.14038854440490134,0.3886244016832787,20.020002222469163,0.29532509429998394,59.62857142857143,5
Twitter-RoBERTa-Irony,Understandability,30,56.35714285714286,49.7095393725392,56.31428571428572,0.3137983233784091,49.422083291414786,0.2206572669993,0.2874560811244098,0.22065726699929855,30.04556061784643,0.2985273328494283,78.72857142857143,5
Twitter-RoBERTa-Irony,Validity,10,56.35714285714286,49.7095393725392,70.41428571428571,0.7863633682584543,51.910802171367955,1.6677725173819085,-2.201262798828755,1.6677725173819078,10.0055561729081,0.16790309587295058,59.842857142857156,5
Twitter-RoBERTa-Irony,Validity,20,56.35714285714286,49.7095393725392,80.51428571428572,0.6416655623278729,49.299497568469505,0.8567288957950672,0.4100418040696885,0.8567288957950666,20.033337037448607,0.16282525627798833,90.0,5
Twitter-RoBERTa-Irony,Validity,30,56.35714285714286,49.7095393725392,83.94285714285715,0.450056685772096,47.83167762183601,0.8119735595260453,1.8778617507031823,0.8119735595260453,30.063340371152353,0.09082261025314795,97.44285714285714,5
