Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
Twitter-RoBERTa-Irony,Understandability,0.1,10,46,0.5635714285714286,0.49709539372539197,0.5585714285714286,0.49224279386184217,0.0048525998635498,0.11090121124569396,0.35285714285714287
Twitter-RoBERTa-Irony,Understandability,0.2,20,42,0.5635714285714286,0.49709539372539197,0.5642857142857143,0.4970127030796487,8.269064574328855e-05,0.19557728636515168,0.5828571428571429
Twitter-RoBERTa-Irony,Understandability,0.2,20,43,0.5635714285714286,0.49709539372539197,0.5678571428571428,0.5008342021096974,-0.0037388083843054587,0.19968885431714634,0.5964285714285714
Twitter-RoBERTa-Irony,Understandability,0.2,20,44,0.5635714285714286,0.49709539372539197,0.5614285714285714,0.4937144257227939,0.0033809680025980726,0.20024447160795644,0.5935714285714285
Twitter-RoBERTa-Irony,Understandability,0.2,20,45,0.5635714285714286,0.49709539372539197,0.5735714285714286,0.5037922077922078,-0.006696814066815826,0.20235581731303479,0.6042857142857143
Twitter-RoBERTa-Irony,Understandability,0.2,20,46,0.5635714285714286,0.49709539372539197,0.5678571428571428,0.4971428571428571,-4.7463417465143376e-05,0.20313368152016892,0.6042857142857143
Twitter-RoBERTa-Irony,Understandability,0.3,30,42,0.5635714285714286,0.49709539372539197,0.5671428571428572,0.4966251815566884,0.0004702121687035765,0.302478053117013,0.7978571428571428
Twitter-RoBERTa-Irony,Understandability,0.3,30,43,0.5635714285714286,0.49709539372539197,0.56,0.49206528704436653,0.005030106681025437,0.3030336704078231,0.7907142857142857
Twitter-RoBERTa-Irony,Understandability,0.3,30,44,0.5635714285714286,0.49709539372539197,0.565,0.4963109473501383,0.0007844463752536557,0.30047783087009666,0.7885714285714286
Twitter-RoBERTa-Irony,Understandability,0.3,30,45,0.5635714285714286,0.49709539372539197,0.5635714285714286,0.4940374615751796,0.0030579321502123835,0.29547727525280587,0.775
Twitter-RoBERTa-Irony,Understandability,0.3,30,46,0.5635714285714286,0.49709539372539197,0.56,0.49206528704436653,0.005030106681025437,0.3008112012445827,0.7842857142857143
