,precision,recall,f1-score,support
Mixed,0.31155778894472363,0.256198347107438,0.2811791383219955,242.0
Negative,0.8235294117647058,0.8308321964529332,0.8271646859083192,1466.0
Neutral,0.8377986965966691,0.842680262199563,0.8402323892519971,1373.0
Positive,0.7209821428571429,0.7391304347826086,0.7299435028248588,874.0
accuracy,0.779519595448799,0.779519595448799,0.779519595448799,0.779519595448799
macro avg,0.6734670100408103,0.6672103101356357,0.6696299290767926,3955.0
weighted avg,0.7744948434528575,0.779519595448799,0.7768087162901232,3955.0
