Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Weighted_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Textual Accuracy,0.1,10,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7757269279393173,0.6717283660270842,0.7723711882773491,-0.002098436950291549,0.10021234017201082,0.9089759797724399
AraBERTv2,Textual Accuracy,0.1,10,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7731984829329962,0.665156316178093,0.770098261336075,0.00447361289869963,0.09905134354806679,0.9061946902654867
AraBERTv2,Textual Accuracy,0.1,10,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7739570164348926,0.6582914242809988,0.7700860643493006,0.011338504795793791,0.09976932830234796,0.9112515802781289
AraBERTv2,Textual Accuracy,0.1,10,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7754740834386852,0.669173321073292,0.7722083014030465,0.0004566080035006692,0.09978460457371564,0.9084702907711757
AraBERTv2,Textual Accuracy,0.1,10,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.768141592920354,0.6522024890515863,0.7650239363600382,0.017427440025206353,0.09987626220192175,0.9140328697850821
AraBERTv2,Textual Accuracy,0.2,20,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7628318584070797,0.649555525496096,0.7577658817324266,0.020074403580696676,0.20068437695727226,0.9838179519595449
AraBERTv2,Textual Accuracy,0.2,20,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7603034134007586,0.6396378692148084,0.7547427231910524,0.029992059861984277,0.19952338033332825,0.9845764854614412
AraBERTv2,Textual Accuracy,0.2,20,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7661188369152971,0.6530639293196322,0.7609619262960136,0.016565999757160443,0.20008860237393258,0.9865992414664981
AraBERTv2,Textual Accuracy,0.2,20,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7686472819216182,0.6528101600017384,0.76253220411171,0.016819769075054225,0.19921785490597455,0.9830594184576485
AraBERTv2,Textual Accuracy,0.2,20,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7623261694058154,0.6498524494949907,0.7578643637790722,0.019777479581801982,0.19940117016238676,0.9853350189633375
AraBERTv2,Textual Accuracy,0.3,30,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7471554993678887,0.6300182126119934,0.7416620601401182,0.03961171646479922,0.3006675730587678,0.9941845764854614
AraBERTv2,Textual Accuracy,0.3,30,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7443742098609355,0.6238713121933916,0.7367583168728308,0.04575861688340099,0.3001787323750019,0.9929203539823008
AraBERTv2,Textual Accuracy,0.3,30,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7418457648546144,0.6271962288899743,0.7359437634756691,0.04243370018681836,0.3003162188173111,0.9957016434892542
AraBERTv2,Textual Accuracy,0.3,30,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7466498103666245,0.6277198246134839,0.7403171300496023,0.041910104463308784,0.30074395441560625,0.995448798988622
AraBERTv2,Textual Accuracy,0.3,30,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7499367888748419,0.6306900893475302,0.7433698258306871,0.038939839729262404,0.300560639159194,0.9951959544879899
AraBERTv2,Completeness,0.1,10,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7729456384323641,0.6617733951293386,0.76841232929114,0.007856533947454003,0.1001251415291103,0.9580278128950696
AraBERTv2,Completeness,0.1,10,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7719342604298357,0.6678868305037506,0.7689738405832386,0.0017430985730420012,0.09995828615696323,0.956763590391909
AraBERTv2,Completeness,0.1,10,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7721871049304677,0.6563603876251427,0.7681842038566353,0.013269541451649935,0.09989869495262499,0.9534766118836915
AraBERTv2,Completeness,0.1,10,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7800252844500632,0.6753118533523441,0.7765208577812425,-0.005681924275551475,0.10008938680650736,0.9585335018963338
AraBERTv2,Completeness,0.1,10,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.77724399494311,0.671495632071391,0.7741028416660344,-0.0018657029945983172,0.10000595912043382,0.9580278128950696
AraBERTv2,Completeness,0.2,20,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7620733249051833,0.6505984197508033,0.7583606626065291,0.019031509325989293,0.20010726416780883,0.9934260429835651
AraBERTv2,Completeness,0.2,20,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7608091024020227,0.6487319742049318,0.755927952642279,0.020897954871860858,0.20015493713127944,0.9946902654867257
AraBERTv2,Completeness,0.2,20,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7597977243994943,0.6432700917680567,0.7543056562785453,0.026359837308735923,0.19990465407305882,0.9934260429835651
AraBERTv2,Completeness,0.2,20,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7620733249051833,0.6502580336964792,0.7582245874491828,0.019371895380313475,0.19946367916095584,0.9939317319848293
AraBERTv2,Completeness,0.2,20,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7620733249051833,0.6423065037230544,0.7566297624540157,0.027323425353738218,0.2,0.995448798988622
AraBERTv2,Completeness,0.3,30,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7509481668773704,0.6347844733427532,0.7449485325631728,0.03484545573403941,0.30025624217865443,0.9989886219974715
AraBERTv2,Completeness,0.3,30,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7405815423514539,0.6204180969639714,0.7349502572565776,0.04921183211282121,0.2997914307848162,0.9989886219974715
AraBERTv2,Completeness,0.3,30,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7400758533501897,0.6288437471028354,0.7355616360775675,0.040786181973957225,0.2996484118944044,0.9982300884955753
AraBERTv2,Completeness,0.3,30,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7479140328697851,0.6339334164577732,0.7427220752729543,0.035696512619019405,0.2994338835587867,0.997724399494311
AraBERTv2,Completeness,0.3,30,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7471554993678887,0.6383089973262881,0.7428448977144257,0.031320931750504544,0.30016089625171327,0.9992414664981036
AraBERTv2,Consistency,0.1,10,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.772692793931732,0.6621309992397659,0.7700945089984086,0.007498929837026713,0.10015037901650077,0.9618204804045511
AraBERTv2,Consistency,0.1,10,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7752212389380531,0.6683807167587491,0.7726384234885538,0.0012492123180435355,0.09989463238979877,0.9610619469026549
