,precision,recall,f1-score,support
Mixed,0.4098360655737705,0.10330578512396695,0.16501650165016502,242.0
Negative,0.7796178343949045,0.834924965893588,0.8063241106719368,1466.0
Neutral,0.813607370659107,0.8361252731245448,0.8247126436781609,1373.0
Positive,0.6845564074479737,0.7151029748283753,0.6994963626189143,874.0
accuracy,0.7640960809102402,0.7640960809102402,0.7640960809102402,0.7640960809102402
macro avg,0.671904419518939,0.6223647497426188,0.6238874046547942,3955.0
weighted avg,0.7477838920647952,0.7640960809102402,0.7498597775836777,3955.0
