Model,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1
AraBERTv2,77.9519595448799,66.96299290767926,77.68087162901232
CAMeLBERT-Mix,75.77749683944374,64.86347976153796,75.77637460165833
XLM-R,76.40960809102401,62.38874046547942,74.98597775836777
