Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Weighted_F1_Mean,Weighted_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Realized_Rate_SD,Changed_Instance_Rate_Mean,N_Runs
AraBERTv2,Completeness,10,77.9519595448799,66.96299290767926,77.68087162901232,77.48672566371681,0.35962630723335726,66.65656197363934,0.7577258757439269,77.12388146356581,0.38259771462585473,0.30643093403992294,0.757725875743924,10.001549371312795,0.009285525859380053,95.69658659924146,5
AraBERTv2,Completeness,20,77.9519595448799,66.96299290767926,77.68087162901232,76.13653603034135,0.10332650691126562,64.70330046286651,0.3952809732006067,75.66897242861104,0.1689342440370605,2.2596924448127553,0.3952809732006084,19.992610690662058,0.027610734247582324,99.41845764854614,5
AraBERTv2,Completeness,30,77.9519595448799,66.96299290767926,77.68087162901232,74.53350189633376,0.47887173121844023,63.125774623872424,0.6939786475731599,74.02054797769397,0.460920214665721,3.8372182838068354,0.6939786475731619,29.9858172933675,0.03458960149943466,99.86346396965867,5
AraBERTv2,Consistency,10,77.9519595448799,66.96299290767926,77.68087162901232,77.45638432364096,0.18545760627956737,66.69470644309187,0.4291204497583352,77.22989495262381,0.20490503055971823,0.2682864645873839,0.42912044975833624,10.001943674362934,0.01888234690479382,96.07585335018965,5
AraBERTv2,Consistency,20,77.9519595448799,66.96299290767926,77.68087162901232,76.79393173198483,0.2049444665401701,66.27685390944174,0.4834236873738857,76.58946375281488,0.2598946122814849,0.6861389982375177,0.483423687373886,20.010843656972167,0.026532649455828634,98.98862199747155,5
AraBERTv2,Consistency,30,77.9519595448799,66.96299290767926,77.68087162901232,75.63590391908977,0.3000232004893417,65.48159706063042,0.4799167500614034,75.53484570432148,0.30880490438065045,1.481395847048832,0.4799167500614059,29.995191963418005,0.01897908795250363,99.44879898862199,5
AraBERTv2,Textual Accuracy,10,77.9519595448799,66.96299290767926,77.68087162901232,77.32996207332491,0.3068703195640716,66.33103833222108,0.8019027450161283,76.9957550345162,0.2969359812261443,0.6319545754581779,0.80190274501613,9.973877575961259,0.04238993270958794,90.97850821744628,5
AraBERTv2,Textual Accuracy,20,77.9519595448799,66.96299290767926,77.68087162901232,76.40455120101139,0.3313131394245202,64.8983986705453,0.5470747896383947,75.8773419822055,0.3041629955518374,2.064594237133952,0.5470747896383952,19.978307694657886,0.05996787835929962,98.4677623261694,5
AraBERTv2,Textual Accuracy,30,77.9519595448799,66.96299290767926,77.68087162901232,74.5992414664981,0.3047798979581117,62.78991335312747,0.26939516454131557,73.96102192737814,0.317886224428368,4.173079554551795,0.26939516454131707,30.049342356517624,0.023876963639345414,99.46902654867257,5
AraBERTv2,Understandability,10,77.9519595448799,66.96299290767926,77.68087162901232,77.8558786346397,0.3103917277253886,67.14396906825306,0.5455407325273818,77.5457916435766,0.328931054729018,-0.18097616057380028,0.5455407325273806,9.156546093796555,0.05012325267940255,78.34639696586599,5
