,precision,recall,f1-score,support
egypt,0.36551724137931035,0.6928104575163399,0.4785553047404063,306.0
gulf,0.44339622641509435,0.14596273291925466,0.21962616822429906,322.0
levant,0.2698412698412698,0.3617021276595745,0.3090909090909091,47.0
magreb,0.0,0.0,0.0,2.0
msa,0.8356286095068858,0.8097287989668532,0.8224748578924355,2323.0
accuracy,0.719,0.719,0.719,0.719
macro avg,0.38287666942851206,0.40204082341240444,0.36594944798961,3000.0
weighted avg,0.7361565534449216,0.719,0.7140979723433962,3000.0
