Model,Dimension,Mean_Delta_F1
AraBERTv2,Completeness,0.29948068520591176
AraBERTv2,Consistency,-0.3254427813730835
AraBERTv2,Understandability,-0.6694532628224651
AraBERTv2,Textual Accuracy,-0.6829361720362878
AraBERTv2,Validity,-2.074488075116314
CAMeLBERT-Mix,Consistency,0.5831337113112064
CAMeLBERT-Mix,Completeness,0.39083928456643474
CAMeLBERT-Mix,Textual Accuracy,-0.07084739046036681
CAMeLBERT-Mix,Understandability,-0.2375579881310963
CAMeLBERT-Mix,Validity,-0.6905248259583692
