,precision,recall,f1-score,support
egypt,0.3803921568627451,0.6339869281045751,0.47549019607843135,306.0
gulf,0.38016528925619836,0.14285714285714285,0.2076749435665914,322.0
levant,0.2619047619047619,0.23404255319148937,0.24719101123595505,47.0
magreb,0.0,0.0,0.0,2.0
msa,0.8306832831972497,0.8321136461472234,0.8313978494623656,2323.0
accuracy,0.728,0.728,0.728,0.728
macro avg,0.370629098244191,0.3686000540600861,0.3523508000686687,3000.0
weighted avg,0.7269333379390769,0.728,0.7184421712192026,3000.0
