,precision,recall,f1-score,support
non-sarcastic,0.7953091684434968,0.8558972005507114,0.8244916003536693,2179.0
sarcastic,0.5206106870229008,0.415347137637028,0.462059620596206,821.0
accuracy,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333
macro avg,0.6579599277331988,0.6356221690938697,0.6432756104749376,3000.0
weighted avg,0.720133350694727,0.7353333333333333,0.7253060485600435,3000.0
