Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Sarcastic_F1_Mean,Sarcastic_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Changed_Instance_Rate_Mean,N_Runs
AraBERTv2,Completeness,10,78.73333333333333,71.38842382205213,56.89189189189189,78.56666666666666,0.37267799624996656,70.77311883451817,0.6133220558265784,55.68096678949054,1.0116554056354068,0.6153049875339756,0.61332205582658,9.998813197246617,87.41333333333333,5
AraBERTv2,Completeness,20,78.73333333333333,71.38842382205213,56.89189189189189,78.23333333333333,0.4242640687119293,69.64252987726967,0.5924748451211828,53.49393457365993,0.9478897040480199,1.7458939447824795,0.5924748451211852,20.0,95.40666666666667,5
AraBERTv2,Completeness,30,78.73333333333333,71.38842382205213,56.89189189189189,77.74666666666667,0.43817804600413035,68.42417486415486,0.6369260268814075,51.26747169752734,1.0198158475875427,2.9642489578972753,0.6369260268814055,29.99960439908221,97.61333333333333,5
AraBERTv2,Consistency,10,78.73333333333333,71.38842382205213,56.89189189189189,78.35333333333332,0.3476907949441432,70.87478743799653,0.40687708172096415,56.11646278523719,0.5832929875238881,0.5136363840556002,0.4068770817209636,10.003513826908888,88.84666666666668,5
AraBERTv2,Consistency,20,78.73333333333333,71.38842382205213,56.89189189189189,78.0,0.31972210155418235,70.07819712656365,0.4506710033180437,54.68228591298791,0.695098030148475,1.3102266954884922,0.4506710033180433,19.994026494254893,95.41333333333334,5
AraBERTv2,Consistency,30,78.73333333333333,71.38842382205213,56.89189189189189,78.30666666666667,0.43805124002665147,70.16842119894689,0.6629287455212555,54.58745485354889,1.06781384047214,1.2200026231052563,0.6629287455212554,30.012649776871992,97.34666666666666,5
AraBERTv2,Textual Accuracy,10,78.73333333333333,71.38842382205213,56.89189189189189,78.42666666666666,0.28616234708446964,71.53213988579712,0.2374039922559235,57.52282896938251,0.26310074910071907,-0.1437160637449808,0.2374039922559267,9.985324629320377,82.35333333333334,5
AraBERTv2,Textual Accuracy,20,78.73333333333333,71.38842382205213,56.89189189189189,77.94666666666666,0.3132269322888919,71.486565351252,0.28386161316242303,57.914913204562815,0.3325099938567807,-0.09814152919985109,0.28386161316242303,19.998987905470372,92.34,5
AraBERTv2,Textual Accuracy,30,78.73333333333333,71.38842382205213,56.89189189189189,77.37333333333332,0.37148351242013683,70.93163843968358,0.5867851402809684,57.24840388818453,0.9751651146856891,0.45678538236854965,0.5867851402809686,30.011639087090735,95.74666666666667,5
AraBERTv2,Understandability,10,78.73333333333333,71.38842382205213,56.89189189189189,78.64,0.311269800798099,71.17864168060726,0.43159404409222224,56.514210564602486,0.6622024356191228,0.20978214144488083,0.4315940440922224,9.994461587150882,71.09333333333335,5
