Model,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1
AraBERTv2,78.73333333333333,71.38842382205213,56.89189189189189
Twitter-RoBERTa-Irony,73.53333333333333,64.32756104749376,46.205962059620596
