,precision,recall,f1-score,support
non-sarcastic,0.8291328492097394,0.8907755851307939,0.8588495575221239,2179.0
sarcastic,0.6388467374810318,0.51278928136419,0.5689189189189189,821.0
accuracy,0.7873333333333333,0.7873333333333333,0.7873333333333333,0.7873333333333333
macro avg,0.7339897933453856,0.701782433247492,0.7138842382205214,3000.0
weighted avg,0.7770578832999829,0.7873333333333333,0.7795052060910468,3000.0
