Model,Dimension,Severity,Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Textual Accuracy,10,42,0.6026605053046046,0.6006155672096679,0.574059389697036,0.571124179989626,0.029491387220041965,0.10009924788529696,0.726361697473477
AraBERTv2,Textual Accuracy,10,43,0.6026605053046046,0.6006155672096679,0.5742097779722192,0.571327495296213,0.02928807191345495,0.09993130786787319,0.7257054577272231
AraBERTv2,Textual Accuracy,10,44,0.6026605053046046,0.6006155672096679,0.5748386743957126,0.5722750376685299,0.02834052954113797,0.09973887659790845,0.7241742316526304
AraBERTv2,Textual Accuracy,10,45,0.6026605053046046,0.6006155672096679,0.5740320463742754,0.5709961888595307,0.02961937835013717,0.09991847911654221,0.7258285026796456
AraBERTv2,Textual Accuracy,10,46,0.6026605053046046,0.6006155672096679,0.5741550913266981,0.5713221469080356,0.02929342030163229,0.10009691538505497,0.727537460352182
AraBERTv2,Textual Accuracy,20,42,0.6026605053046046,0.6006155672096679,0.5439543913376353,0.5405279783097214,0.060087588899946476,0.19995241699506328,0.9278819862189653
AraBERTv2,Textual Accuracy,20,43,0.6026605053046046,0.6006155672096679,0.5449114076342557,0.5411768314713431,0.05943873573832481,0.19993025824276428,0.9292628240183747
AraBERTv2,Textual Accuracy,20,44,0.6026605053046046,0.6006155672096679,0.5461965438040031,0.5426775340952114,0.057938033114456555,0.19982646198199544,0.9285792409493602
AraBERTv2,Textual Accuracy,20,45,0.6026605053046046,0.6006155672096679,0.5462785737722848,0.5428302126044013,0.05778535460526657,0.20011335951176104,0.9270616865361478
AraBERTv2,Textual Accuracy,20,46,0.6026605053046046,0.6006155672096679,0.5436672864486493,0.5400080382867597,0.060607528922908216,0.1998614494856254,0.9270890298589085
AraBERTv2,Textual Accuracy,30,42,0.6026605053046046,0.6006155672096679,0.5137536913485726,0.5099714016064671,0.09064416560320077,0.2998569011101535,0.9785901782784644
AraBERTv2,Textual Accuracy,30,43,0.6026605053046046,0.6006155672096679,0.5131794815706004,0.509587609771399,0.09102795743826886,0.29996652862152734,0.9788499398446899
AraBERTv2,Textual Accuracy,30,44,0.6026605053046046,0.6006155672096679,0.5146970359838128,0.5106540464877124,0.08996152072195551,0.3000015161251573,0.9782210434211965
AraBERTv2,Textual Accuracy,30,45,0.6026605053046046,0.6006155672096679,0.5117713004484304,0.5082048374491933,0.0924107297604746,0.2998067523549506,0.9787405665536476
AraBERTv2,Textual Accuracy,30,46,0.6026605053046046,0.6006155672096679,0.5116892704801488,0.5080380766268436,0.09257749058282427,0.2999128811159614,0.9786995515695067
AraBERTv2,Completeness,10,42,0.6026605053046046,0.6006155672096679,0.5759460789675162,0.5735660380776244,0.027049529132043504,0.09990165059890457,0.779558131904189
AraBERTv2,Completeness,10,43,0.6026605053046046,0.6006155672096679,0.5770261402165591,0.5742889336172627,0.02632663359240517,0.10005868751365264,0.7797768784862736
AraBERTv2,Completeness,10,44,0.6026605053046046,0.6006155672096679,0.5777233949469539,0.5751687562378872,0.025446810971780698,0.09984930496065521,0.778382369025484
AraBERTv2,Completeness,10,45,0.6026605053046046,0.6006155672096679,0.577586678333151,0.5750876883927302,0.025527878816937744,0.09998721558450448,0.7794350869517663
AraBERTv2,Completeness,10,46,0.6026605053046046,0.6006155672096679,0.577490976703489,0.5748588990384901,0.025756668171177832,0.10005264763231618,0.7794214152903861
AraBERTv2,Completeness,20,42,0.6026605053046046,0.6006155672096679,0.548356666302089,0.5452219312167248,0.05539363599294311,0.19999053751923954,0.9588072842611834
AraBERTv2,Completeness,20,43,0.6026605053046046,0.6006155672096679,0.5501066389587662,0.547330951728224,0.05328461548144392,0.1999784577565666,0.9585201793721974
AraBERTv2,Completeness,20,44,0.6026605053046046,0.6006155672096679,0.5487121294979765,0.5458136763948596,0.05480189081480835,0.2000046305756913,0.957891282948704
AraBERTv2,Completeness,20,45,0.6026605053046046,0.6006155672096679,0.5475637099420322,0.5445308353997664,0.05608473180990148,0.1999140323556443,0.9573444164934923
AraBERTv2,Completeness,20,46,0.6026605053046046,0.6006155672096679,0.5481926063655256,0.5453630713084084,0.05525249590125947,0.20015361431532408,0.9583151044514929
AraBERTv2,Completeness,30,42,0.6026605053046046,0.6006155672096679,0.5141091545444603,0.5105019054187165,0.09011366179095137,0.29994151381572526,0.9904435086951766
AraBERTv2,Completeness,30,43,0.6026605053046046,0.6006155672096679,0.513767363009953,0.5092833801820426,0.09133218702762536,0.2999847996319699,0.9903341354041343
AraBERTv2,Completeness,30,44,0.6026605053046046,0.6006155672096679,0.5167477851908564,0.5129932506531113,0.08762231655655661,0.2999928528070852,0.989896642239965
AraBERTv2,Completeness,30,45,0.6026605053046046,0.6006155672096679,0.5142458711582631,0.5105007722610134,0.09011479494865449,0.29985594883012534,0.9904024937110357
AraBERTv2,Completeness,30,46,0.6026605053046046,0.6006155672096679,0.5153942907142076,0.5112826691038962,0.08933289810577172,0.29988614823680765,0.9900470305151482
AraBERTv2,Consistency,10,42,0.6026605053046046,0.6006155672096679,0.5639833752597616,0.5620450240382261,0.03857054317144182,0.1000659452734326,0.7978234715082577
AraBERTv2,Consistency,10,43,0.6026605053046046,0.6006155672096679,0.5663212293557913,0.564179491325603,0.036436075884064945,0.10006416537401472,0.7980832330744833
