Model,Dimension,Severity,Clean_Macro_F1,Macro_F1_Mean,Macro_F1_SD,Delta_F1_Mean,Delta_F1_SD,Accuracy_Mean,Accuracy_SD,Realized_Rate_Mean,Changed_Instance_Rate_Mean
AraBERTv2,Completeness,10,60.06155672096679,57.45940630727989,0.0669704347928885,2.602150413686899,0.06697043479288746,57.71546538335338,0.07246367455036062,9.99699012580066,77.93147763316199
AraBERTv2,Completeness,20,60.06155672096679,54.56520932095966,0.1045283110801841,5.496347400007127,0.10452831108018637,54.85863502132779,0.0946134284759985,20.000825450449316,95.8175653505414
AraBERTv2,Completeness,30,60.06155672096679,51.0912395523756,0.136552988010312,8.97031716859119,0.13655298801031418,51.48528929235481,0.12230827512686553,29.99322526643427,99.0224762113092
AraBERTv2,Consistency,10,60.06155672096679,56.316206066695294,0.10784686887037077,3.7453506542714976,0.10784686887037095,56.5172809799847,0.11647822231075551,10.00518840680313,79.82363556819425
AraBERTv2,Consistency,20,60.06155672096679,52.56879679184969,0.06080505540049481,7.492759929117103,0.06080505540049598,52.68866892704802,0.06290895803501526,19.993076191264432,94.61965438040029
AraBERTv2,Consistency,30,60.06155672096679,48.83316624971978,0.07772214493684869,11.22839047124701,0.07772214493684898,48.84146341463415,0.08867418914081607,30.005918165564466,97.78628458930329
AraBERTv2,Textual Accuracy,10,60.06155672096679,57.1409009744387,0.05039204290278,2.920655746528087,0.050392042902778836,57.42589959531882,0.03318864439262263,9.995696537053515,72.59214699770317
AraBERTv2,Textual Accuracy,20,60.06155672096679,54.144411895348746,0.12664569159231084,5.9171448256180526,0.12664569159231112,54.500164059936566,0.12189878998861765,19.993678924344188,92.79749535163513
AraBERTv2,Textual Accuracy,30,60.06155672096679,50.929119438832316,0.11356039480250216,9.13243728213448,0.1135603948025002,51.30181559663131,0.12948225438381952,29.990891586555,97.8620255933501
AraBERTv2,Understandability,10,60.06155672096679,59.46910685955038,0.06309813863200786,0.5924498614164109,0.06309813863200717,59.69129388603302,0.07222468400231823,9.998117570316802,53.04249152356994
AraBERTv2,Understandability,20,60.06155672096679,58.80412432686214,0.06247366345827467,1.2574323941046517,0.06247366345827332,59.036968172372305,0.06412577600108746,19.99514796199304,77.68265339604069
AraBERTv2,Understandability,30,60.06155672096679,58.28246177143595,0.06645523135006863,1.7790949495308461,0.06645523135006726,58.49967188012688,0.08080171637201736,30.001318707425128,89.63578694082905
AraBERTv2,Validity,10,60.06155672096679,60.06155672096679,0.0,0.0,0.0,60.26605053046046,0.0,10.004841971538065,77.91972000437492
AraBERTv2,Validity,20,60.06155672096679,60.06155672096679,0.0,0.0,0.0,60.26605053046046,0.0,20.000040265875576,95.8457289729848
AraBERTv2,Validity,30,60.06155672096679,60.06155672096679,0.0,0.0,0.0,60.26605053046046,0.0,30.000312060535716,99.08290495461009
CAMeLBERT-Mix,Completeness,10,61.33428783671931,58.658402400295614,0.055288417065691646,2.675885436423695,0.05528841706569084,58.991304823362135,0.05304357956133397,9.99699012580066,77.93147763316199
CAMeLBERT-Mix,Completeness,20,61.33428783671931,55.626398862053996,0.0929963111486273,5.7078889746653205,0.09299631114862932,56.02291370447337,0.09096844456282298,20.000825450449316,95.8175653505414
CAMeLBERT-Mix,Completeness,30,61.33428783671931,51.922299636063116,0.052689254574499,9.411988200656193,0.05268925457450021,52.42781362791206,0.06064580093464356,29.99322526643427,99.0224762113092
CAMeLBERT-Mix,Consistency,10,61.33428783671931,57.236053681811114,0.1436699240053759,4.098234154908198,0.14366992400537887,57.5470305151482,0.1333894614114147,10.00518840680313,79.82363556819425
CAMeLBERT-Mix,Consistency,20,61.33428783671931,53.414168323964105,0.03639452304820787,7.920119512755215,0.03639452304820971,53.755058514710704,0.017092310838925446,19.993076191264432,94.61965438040029
CAMeLBERT-Mix,Consistency,30,61.33428783671931,49.779975592158515,0.1865104800193345,11.554312244560798,0.18651048001933412,50.082576834736955,0.17434611626812563,30.005918165564466,97.78628458930329
CAMeLBERT-Mix,Textual Accuracy,10,61.33428783671931,58.28538319368164,0.08784800852210761,3.0489046430376754,0.08784800852210747,58.67494257902221,0.08392997177651347,9.995696537053515,72.59214699770317
CAMeLBERT-Mix,Textual Accuracy,20,61.33428783671931,55.13020703074729,0.09738181551201475,6.204080805972025,0.0973818155120141,55.67073170731707,0.10226548932389497,19.993678924344188,92.79749535163513
