Model,Dimension,Mean_Delta_F1
AraBERTv2,Consistency,7.488833684878537
AraBERTv2,Textual Accuracy,5.990079284760206
AraBERTv2,Completeness,5.689604994095073
AraBERTv2,Understandability,1.2096590683506363
AraBERTv2,Validity,0.0
CAMeLBERT-Mix,Validity,9.151811333702636
CAMeLBERT-Mix,Consistency,7.857555304074737
CAMeLBERT-Mix,Textual Accuracy,6.304896998732123
CAMeLBERT-Mix,Completeness,5.931920870581737
CAMeLBERT-Mix,Understandability,1.4303828472431783
