Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Changed_Instance_Rate_Mean,N_Runs
AraBERTv2,Completeness,10,74.4127936031984,58.54499610060613,73.49325337331335,0.5748212747430547,55.910467931162756,1.0240830566645966,2.6345281694433798,1.0240830566645949,10.010317714448359,90.07496251874063,5
AraBERTv2,Completeness,20,74.4127936031984,58.54499610060613,72.54372813593204,0.5004991887478016,53.82827091076121,1.0376172818948985,4.716725189844908,1.0376172818948954,19.972248905966485,97.67116441779112,5
AraBERTv2,Completeness,30,74.4127936031984,58.54499610060613,72.1639180409795,0.5451630242196797,52.29150827952469,0.8007859868987475,6.253487821081441,0.8007859868987461,30.002490482797878,98.98050974512745,5
AraBERTv2,Consistency,10,74.4127936031984,58.54499610060613,73.7631184407796,0.2914018937953666,57.09202285920332,0.540515733029493,1.452973241402804,0.5405157330294946,10.020040080160323,92.03398300849574,5
AraBERTv2,Consistency,20,74.4127936031984,58.54499610060613,73.69315342328836,0.3733103327732763,56.19837531209987,0.8235527181870026,2.346620788506264,0.8235527181870022,20.04243781681009,98.06096951524236,5
AraBERTv2,Consistency,30,74.4127936031984,58.54499610060613,72.94352823588206,0.5295936748321431,54.10111892812689,1.105846664378232,4.4438771724792385,1.1058466643782363,29.98231757632913,98.99050474762619,5
AraBERTv2,Textual Accuracy,10,74.4127936031984,58.54499610060613,73.6031984007996,0.7062231405073295,57.14936806912432,1.5457250078165907,1.3956280314818104,1.5457250078165907,9.977493074792243,84.8575712143928,5
AraBERTv2,Textual Accuracy,20,74.4127936031984,58.54499610060613,72.56371814092954,0.8655926074806981,55.42566226397832,1.1939269272110236,3.119333836627818,1.1939269272110233,19.988746537396125,95.88205897051473,5
AraBERTv2,Textual Accuracy,30,74.4127936031984,58.54499610060613,72.15392303848076,0.34333961094088544,54.222708051759305,0.5758999325034898,4.322288048846821,0.57589993250349,30.013850415512465,97.80109945027486,5
AraBERTv2,Understandability,10,74.4127936031984,58.54499610060613,73.49325337331335,0.21954905183896475,56.864292200666654,0.49691675034571786,1.680703899939473,0.4969167503457192,9.816771622727433,67.856071964018,5
AraBERTv2,Understandability,20,74.4127936031984,58.54499610060613,73.39330334832583,0.49925012468734176,56.54852344221428,0.8239864377416553,1.9964726583918457,0.8239864377416558,16.796527555413242,89.82508745627186,5
AraBERTv2,Understandability,30,74.4127936031984,58.54499610060613,72.5737131434283,0.7305587932675537,54.7624236142614,1.1152577773852985,3.7825724863447334,1.1152577773852996,24.93969473796563,95.65217391304348,5
AraBERTv2,Validity,10,74.4127936031984,58.54499610060613,74.55272363818091,0.47986422325468336,55.90962264354397,0.9487927494127066,2.6353734570621623,0.9487927494127062,9.969758423168605,90.01499250374813,5
AraBERTv2,Validity,20,74.4127936031984,58.54499610060613,74.4127936031984,0.39666436447744924,53.26599107464405,0.8664809118618882,5.279005025962071,0.8664809118618901,20.036289892197672,97.89105447276363,5
AraBERTv2,Validity,30,74.4127936031984,58.54499610060613,73.90304847576212,0.3322492781328268,50.89454113068206,0.7468963913946615,7.650454969924068,0.7468963913946611,29.94200732913509,98.99050474762619,5
CAMeLBERT-Mix,Completeness,10,74.2128935532234,57.30662268364119,73.21339330334833,0.17668835112107442,54.52496815749706,0.23409329790076402,2.7816545261441328,0.2340932979007646,10.010317714448359,90.07496251874063,5
CAMeLBERT-Mix,Completeness,20,74.2128935532234,57.30662268364119,72.28385807096453,0.5638545810122245,52.43846375126022,1.2205343122344292,4.868158932380959,1.220534312234423,19.972248905966485,97.67116441779112,5
CAMeLBERT-Mix,Completeness,30,74.2128935532234,57.30662268364119,71.63418290854572,0.7383797525933358,49.962120476161054,1.3805713941510338,7.34450220748013,1.380571394151034,30.002490482797878,98.98050974512745,5
CAMeLBERT-Mix,Consistency,10,74.2128935532234,57.30662268364119,73.24337831084458,0.16423464992658526,55.94512204570747,0.4632468498039766,1.3615006379337125,0.46324684980397796,10.020040080160323,92.03398300849574,5
CAMeLBERT-Mix,Consistency,20,74.2128935532234,57.30662268364119,72.6136931534233,0.48064427940208004,55.01577107020651,0.8615421747107017,2.29085161343467,0.8615421747107006,20.04243781681009,98.06096951524236,5
CAMeLBERT-Mix,Consistency,30,74.2128935532234,57.30662268364119,72.33383308345826,0.4682741339379283,54.098321965765365,0.8794446280905646,3.2083007178758187,0.8794446280905653,29.98231757632913,98.99050474762619,5
CAMeLBERT-Mix,Textual Accuracy,10,74.2128935532234,57.30662268364119,73.06346826586706,0.3854884712778985,55.935585422504396,0.9186215967160325,1.3710372611367805,0.9186215967160359,9.977493074792243,84.8575712143928,5
