Model,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1
AraBERTv2,74.4127936031984,58.54499610060613,73.86189905678083
CAMeLBERT-Mix,74.2128935532234,57.30662268364119,73.28104564196332
XLM-R,71.56421789105447,44.84514710097732,67.86454835267067
