Model,Dimension,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Weighted_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Textual Accuracy,10,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7286356821589205,0.5604050052714877,0.7228766133165017,0.02504495573457355,0.1009349030470914,0.8530734632683659
AraBERTv2,Textual Accuracy,10,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7411294352823589,0.5778663518446576,0.7348105937780667,0.007583609161403659,0.09890062326869806,0.8445777111444278
AraBERTv2,Textual Accuracy,10,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.728135932033983,0.5501943467400783,0.7207614258783267,0.035255614265983004,0.09911703601108034,0.8455772113943029
AraBERTv2,Textual Accuracy,10,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7426286856571714,0.5846964416664762,0.7371097529494044,0.0007535193395851181,0.09998268698060941,0.847576211894053
AraBERTv2,Textual Accuracy,10,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7396301849075462,0.5843062579335161,0.7345369014327361,0.001143703072545188,0.09993940443213296,0.8520739630184908
AraBERTv2,Textual Accuracy,20,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7346326836581709,0.5620329507750075,0.7267372312185568,0.023417010231053803,0.2016101108033241,0.9625187406296851
AraBERTv2,Textual Accuracy,20,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7136431784107946,0.5363950571891501,0.7082436043311175,0.04905490381691113,0.2005713296398892,0.9590204897551224
AraBERTv2,Textual Accuracy,20,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7266366816591704,0.5573391324741791,0.7202832748115721,0.02811082853188218,0.19987880886426593,0.9585207396301849
AraBERTv2,Textual Accuracy,20,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7326336831584208,0.5666083208493387,0.7273615102930067,0.018841640156722628,0.19836391966759004,0.9555222388805598
AraBERTv2,Textual Accuracy,20,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7206396801599201,0.5489076519112401,0.7137652591671945,0.036542309094821146,0.19901315789473684,0.9585207396301849
AraBERTv2,Textual Accuracy,30,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7181409295352323,0.5367759541517729,0.709030125681066,0.048674006854288354,0.29947195290858725,0.9780109945027486
AraBERTv2,Textual Accuracy,30,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7261369315342329,0.5451661940493631,0.7158964772743268,0.04028376695669822,0.30176592797783935,0.9800099950024987
AraBERTv2,Textual Accuracy,30,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7201399300349826,0.541425024793626,0.7118576997845837,0.044024936212435306,0.2999913434903047,0.9770114942528736
AraBERTv2,Textual Accuracy,30,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7241379310344828,0.5505240058840469,0.7159699106363144,0.03492595512201435,0.29964508310249305,0.9790104947526237
AraBERTv2,Textual Accuracy,30,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7191404297851074,0.5372442237091565,0.7107959397929766,0.048205737296904805,0.2998182132963989,0.9760119940029985
AraBERTv2,Completeness,10,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7381309345327336,0.5638106246834529,0.7278983078865828,0.021639336322608393,0.10015298680044117,0.9020489755122438
AraBERTv2,Completeness,10,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7351324337831084,0.5658502441050552,0.7268152009252349,0.019599716901006037,0.09976162521791725,0.895552223888056
AraBERTv2,Completeness,10,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7286356821589205,0.5521009170196092,0.7199176636282986,0.03334904398645211,0.10043761340591312,0.9030484757621189
AraBERTv2,Completeness,10,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7301349325337332,0.5447790294776669,0.7191273305799448,0.040670931528394405,0.09990393852065321,0.8970514742628686
AraBERTv2,Completeness,10,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7426286856571714,0.5689825812723532,0.7331021840849516,0.016467379733708043,0.10025972177749315,0.9060469765117442
AraBERTv2,Completeness,20,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7271364317841079,0.5467266334506675,0.7137455091850097,0.03872332755539376,0.20027039527519835,0.9765117441279361
AraBERTv2,Completeness,20,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7286356821589205,0.5435605097163373,0.7174614599189822,0.04188945128972399,0.19977229871562244,0.9750124937531235
AraBERTv2,Completeness,20,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7296351824087957,0.5469293995764584,0.7163985281914552,0.03852056142960292,0.1994165154587825,0.9810094952523738
AraBERTv2,Completeness,20,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7246376811594203,0.5289104825808632,0.7099762678300171,0.05653947842519813,0.19970114206425446,0.9775112443778111
AraBERTv2,Completeness,20,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7171414292853573,0.5252865202137347,0.7037908890146102,0.060163440792326606,0.19945209378446652,0.9735132433783108
AraBERTv2,Completeness,30,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7301349325337332,0.5356429101092699,0.7126189358144652,0.04980705089679138,0.29985412886469565,0.9895052473763118
AraBERTv2,Completeness,30,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7181409295352323,0.523414223371913,0.7010210305226421,0.06203573763414827,0.29910698402533176,0.9910044977511244
AraBERTv2,Completeness,30,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7176411794102948,0.5169400874380707,0.6987061961305274,0.06850987356799054,0.3002099121215356,0.9895052473763118
AraBERTv2,Completeness,30,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7181409295352323,0.5152728528267957,0.7000217942369737,0.07017710817926559,0.2999252855160636,0.9920039980009995
AraBERTv2,Completeness,30,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7241379310344828,0.523305340230185,0.7054266372983474,0.062144620775876236,0.3010282136122674,0.9870064967516242
AraBERTv2,Consistency,10,42,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7421289355322339,0.5758713675196998,0.7350576061613636,0.009578593486361475,0.10025934221383945,0.9220389805097451
AraBERTv2,Consistency,10,43,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7371314342828585,0.5655684319142409,0.7292087626513338,0.019881529091820394,0.10025934221383945,0.920039980009995
AraBERTv2,Consistency,10,44,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7341329335332334,0.5657461291149279,0.7271546015222432,0.01970383189113334,0.10014145938936697,0.9195402298850575
AraBERTv2,Consistency,10,45,0.744127936031984,0.5854499610060613,0.7386189905678083,0.736631684157921,0.5704367407891456,0.7290619533552701,0.015013220216915646,0.09955204526700459,0.9135432283858071
AraBERTv2,Consistency,10,46,0.744127936031984,0.5854499610060613,0.7386189905678083,0.7381309345327336,0.5769784736221519,0.7308900230440497,0.008471487383909349,0.10078981492396558,0.9265367316341829
