,precision,recall,f1-score,support
NEG,0.616822429906542,0.5875370919881305,0.601823708206687,337.0
NEUTRAL,0.39097744360902253,0.3132530120481928,0.34782608695652173,166.0
OBJ,0.8277099784637473,0.8617339312406577,0.8443793482240938,1338.0
POS,0.5584415584415584,0.5375,0.5477707006369427,160.0
accuracy,0.744127936031984,0.744127936031984,0.744127936031984,0.744127936031984
macro avg,0.5984878526052176,0.5750060088192452,0.5854499610060613,2001.0
weighted avg,0.7344317916305575,0.744127936031984,0.7386189905678083,2001.0
