,precision,recall,f1-score,support
NEG,0.5034246575342466,0.4362017804154303,0.46740858505564387,337.0
NEUTRAL,0.4482758620689655,0.0783132530120482,0.13333333333333333,166.0
OBJ,0.7713567839195979,0.9177877428998505,0.8382252559726963,1338.0
POS,0.5,0.275,0.3548387096774194,160.0
accuracy,0.7156421789105447,0.7156421789105447,0.7156421789105447,0.7156421789105447
macro avg,0.5557643258807026,0.42682569408183224,0.44845147100977323,2001.0
weighted avg,0.6777327734017549,0.7156421789105447,0.6786454835267066,2001.0
