,precision,recall,f1-score,support
NEG,0.6101694915254238,0.5341246290801187,0.569620253164557,337.0
NEUTRAL,0.4365079365079365,0.3313253012048193,0.3767123287671233,166.0
OBJ,0.8159722222222222,0.8781763826606876,0.8459323254139669,1338.0
POS,0.5357142857142857,0.46875,0.5,160.0
accuracy,0.7421289355322339,0.7421289355322339,0.7421289355322339,0.7421289355322339
macro avg,0.599590983992467,0.5530940782364064,0.5730662268364118,2001.0
weighted avg,0.7274225662928557,0.7421289355322339,0.7328104564196332,2001.0
